pos1_x,pos1_y,pos2_x,pos2_y,pos3_x,pos3_y,pos4_x,pos4_y,pos5_x,pos5_y,pos6_x,pos6_y,thisN,thisTrialN,thisRepN,img_query,img_query_w,img_query_h,img_query_disp_w,img_query_disp_h,sam_1,sam_1_w,sam_1_h,sam_1_disp_w,sam_1_disp_h,sam_2,sam_2_w,sam_2_h,sam_2_disp_w,sam_2_disp_h,sam_3,sam_3_w,sam_3_h,sam_3_disp_w,sam_3_disp_h,sam_4,sam_4_w,sam_4_h,sam_4_disp_w,sam_4_disp_h,sam_5,sam_5_w,sam_5_h,sam_5_disp_w,sam_5_disp_h,img_targ,targ_w,targ_h,targ_disp_w,targ_disp_h,key_next_1.keys,key_next_1.rt,key_next_1.duration,position_loop.thisRepN,position_loop.thisTrialN,position_loop.thisN,position_loop.thisIndex,medTrial.thisRepN,medTrial.thisTrialN,medTrial.thisN,medTrial.thisIndex,thisRow.t,notes,key_next_1.started,medTrial.key_next_1.keys,medTrial.key_next_1.rt,medTrial.key_next_1.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-27_09h48.39.778,pilot_study,,2025.1.1,2025-06-27 09h48.43.217219 -0400,
0.55,-0.35,0.0,-0.35,-0.55,-0.35,0.55,0.0,-0.55,0.0,0.0,0.0,0,0,0,resources/images/medium/med_Q5.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_5.jpg,1024,768,0.3,0.225,resources/images/medium/med_S2_5.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S3_5.jpg,3264,1840,0.25,0.140931373,resources/images/medium/med_S4_5.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_5.jpg,350,233,0.25,0.166428571,resources/images/medium/med_T5.jpg,768,1024,0.1875,0.25,space,7.641274207999231,None,0,0,0,4,0,0,0,4,10.261574042000575,,10.261574042000575,space,7.641274207999231,None,,001,2025-06-27_09h48.39.778,pilot_study,,2025.1.1,2025-06-27 09h48.43.217219 -0400,
0.55,-0.35,0.0,-0.35,-0.55,-0.35,0.55,0.0,-0.55,0.0,0.0,0.0,1,1,0,resources/images/medium/med_Q4.jpg,768,1024,0.225,0.3,resources/images/medium/med_S1_4.jpg,1024,768,0.3,0.225,resources/images/medium/med_S2_4.jpg,350,234,0.25,0.167142857,resources/images/medium/med_S3_4.jpg,350,341,0.25,0.243571429,resources/images/medium/med_S4_4.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_4.jpg,350,208,0.25,0.148571429,resources/images/medium/med_T4.jpg,768,1024,0.1875,0.25,space,1.0298782070021844,None,0,0,0,4,0,1,1,3,17.989698999997927,,17.989698999997927,space,1.0298782070021844,None,,001,2025-06-27_09h48.39.778,pilot_study,,2025.1.1,2025-06-27 09h48.43.217219 -0400,
0.55,-0.35,0.0,-0.35,-0.55,-0.35,0.55,0.0,-0.55,0.0,0.0,0.0,2,2,0,resources/images/medium/med_Q1.jpg,4032,3024,0.3,0.225,resources/images/medium/med_S1_1.jpg,768,1024,0.225,0.3,resources/images/medium/med_S2_1.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S3_1.jpg,350,233,0.25,0.166428571,resources/images/medium/med_S4_1.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_1.jpg,768,1040,0.184615385,0.25,resources/images/medium/med_T1.jpg,1024,768,0.25,0.1875,space,1.2175580409966642,None,0,0,0,4,0,2,2,0,19.251358374996926,,19.251358374996926,space,1.2175580409966642,None,,001,2025-06-27_09h48.39.778,pilot_study,,2025.1.1,2025-06-27 09h48.43.217219 -0400,
0.55,-0.35,0.0,-0.35,-0.55,-0.35,0.55,0.0,-0.55,0.0,0.0,0.0,3,3,0,resources/images/medium/med_Q2.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_2.jpg,4032,3024,0.3,0.225,resources/images/medium/med_S2_2.jpg,250,233,0.25,0.233,resources/images/medium/med_S3_2.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S4_2.jpg,350,233,0.25,0.166428571,resources/images/medium/med_S5_2.jpg,350,233,0.25,0.166428571,resources/images/medium/med_T2.jpg,4032,2268,0.25,0.140625,space,0.6756574989994988,None,0,0,0,4,0,3,3,1,20.77306658399175,,20.77306658399175,space,0.6756574989994988,None,,001,2025-06-27_09h48.39.778,pilot_study,,2025.1.1,2025-06-27 09h48.43.217219 -0400,
0.55,-0.35,0.0,-0.35,-0.55,-0.35,0.55,0.0,-0.55,0.0,0.0,0.0,4,4,0,resources/images/medium/med_Q3.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_3.jpg,4160,2340,0.3,0.16875,resources/images/medium/med_S2_3.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S3_3.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S4_3.jpg,350,197,0.25,0.140714286,resources/images/medium/med_S5_3.jpg,2592,4608,0.140625,0.25,resources/images/medium/med_T3.jpg,1024,768,0.25,0.1875,space,0.535964041002444,None,0,0,0,4,0,4,4,2,21.78902866700082,,21.78902866700082,space,0.535964041002444,None,,001,2025-06-27_09h48.39.778,pilot_study,,2025.1.1,2025-06-27 09h48.43.217219 -0400,
0.55,-0.35,0.0,-0.35,-0.55,-0.35,0.55,0.0,-0.55,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,001,2025-06-27_09h48.39.778,pilot_study,,2025.1.1,2025-06-27 09h48.43.217219 -0400,
0.55,-0.35,0.55,0.0,0.0,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,0,0,0,resources/images/medium/med_Q1.jpg,4032,3024,0.3,0.225,resources/images/medium/med_S1_1.jpg,768,1024,0.225,0.3,resources/images/medium/med_S2_1.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S3_1.jpg,350,233,0.25,0.166428571,resources/images/medium/med_S4_1.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_1.jpg,768,1040,0.184615385,0.25,resources/images/medium/med_T1.jpg,1024,768,0.25,0.1875,space,0.39983266600756906,None,0,1,1,1,0,0,0,0,22.554408166994108,,22.554408166994108,space,0.39983266600756906,None,,001,2025-06-27_09h48.39.778,pilot_study,,2025.1.1,2025-06-27 09h48.43.217219 -0400,
0.55,-0.35,0.55,0.0,0.0,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,1,1,0,resources/images/medium/med_Q4.jpg,768,1024,0.225,0.3,resources/images/medium/med_S1_4.jpg,1024,768,0.3,0.225,resources/images/medium/med_S2_4.jpg,350,234,0.25,0.167142857,resources/images/medium/med_S3_4.jpg,350,341,0.25,0.243571429,resources/images/medium/med_S4_4.jpg,768,1024,0.1875,0.25,resources/images/medium/med_S5_4.jpg,350,208,0.25,0.148571429,resources/images/medium/med_T4.jpg,768,1024,0.1875,0.25,space,4.617948208004236,None,0,1,1,1,0,1,1,3,23.0495600419963,,23.0495600419963,space,4.617948208004236,None,,001,2025-06-27_09h48.39.778,pilot_study,,2025.1.1,2025-06-27 09h48.43.217219 -0400,
0.55,-0.35,0.55,0.0,0.0,-0.35,-0.55,0.0,0.0,0.0,-0.55,-0.35,2,2,0,resources/images/medium/med_Q3.jpg,1024,768,0.3,0.225,resources/images/medium/med_S1_3.jpg,4160,2340,0.3,0.16875,resources/images/medium/med_S2_3.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S3_3.jpg,1024,768,0.25,0.1875,resources/images/medium/med_S4_3.jpg,350,197,0.25,0.140714286,resources/images/medium/med_S5_3.jpg,2592,4608,0.140625,0.25,resources/images/medium/med_T3.jpg,1024,768,0.25,0.1875,space,1.107020208000904,None,0,1,1,1,0,2,2,2,27.943017041994608,,27.943017041994608,space,1.107020208000904,None,,001,2025-06-27_09h48.39.778,pilot_study,,2025.1.1,2025-06-27 09h48.43.217219 -0400,
