set_img,correct,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,img_query,img_query_w,img_query_h,img_query_disp_w,img_query_disp_h,sam_1,sam_1_w,sam_1_h,sam_1_disp_w,sam_1_disp_h,sam_2,sam_2_w,sam_2_h,sam_2_disp_w,sam_2_disp_h,sam_3,sam_3_w,sam_3_h,sam_3_disp_w,sam_3_disp_h,sam_4,sam_4_w,sam_4_h,sam_4_disp_w,sam_4_disp_h,sam_5,sam_5_w,sam_5_h,sam_5_disp_w,sam_5_disp_h,img_targ,targ_w,targ_h,targ_disp_w,targ_disp_h,imp_query,imp_query_w,imp_query_h,imp_query_disp_w,imp_query_disp_h,imp1,imp1_w,imp1_h,imp1_disp_w,imp1_disp_h,imp2,imp2_w,imp2_h,imp2_disp_w,imp2_disp_h,imp3,imp3_w,imp3_h,imp3_disp_w,imp3_disp_h,imp4,imp4_w,imp4_h,imp4_disp_w,imp4_disp_h,imp5,imp5_w,imp5_h,imp5_disp_w,imp5_disp_h,imp_targ,imp_targ_w,imp_targ_h,imp_targ_disp_w,imp_targ_disp_h,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,medTrial.thisRepN,medTrial.thisTrialN,medTrial.thisN,medTrial.thisIndex,impTrial.thisRepN,impTrial.thisTrialN,impTrial.thisN,impTrial.thisIndex,thisRow.t,notes,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-27_14h11.18.433,pilot_study,,2025.1.1,2025-06-27 14h11.21.610962 -0400,
resources/images/QUERY.jpg,5,0,0,0,5,1,7.19440404100169,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,7.1635157499986235,,5,1,7.19440404100169,None,,001,2025-06-27_14h11.18.433,pilot_study,,2025.1.1,2025-06-27 14h11.21.610962 -0400,
resources/images/QUERY1.jpg,5,1,1,0,2,0,1.2888066250015981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,16.390578457998345,,2,0,1.2888066250015981,None,,001,2025-06-27_14h11.18.433,pilot_study,,2025.1.1,2025-06-27 14h11.21.610962 -0400,
,,0,0,0,,,,,resources/images/medium/med_Q4.jpg,768,1024,0.3,0.4,resources/images/medium/med_S4_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S4_2.jpg,350,233,0.35,0.233,resources/images/medium/med_S4_3.jpg,350,197,0.35,0.197,resources/images/medium/med_S4_4.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S4_5.jpg,768,1024,0.2625,0.35,resources/images/medium/med_T4.jpg,768,1024,0.2625,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,19.706186499999603,,,,,,,001,2025-06-27_14h11.18.433,pilot_study,,2025.1.1,2025-06-27 14h11.21.610962 -0400,
,,1,1,0,,,,,resources/images/medium/med_Q2.jpg,1024,768,0.4,0.3,resources/images/medium/med_S2_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S2_2.jpg,350,233,0.35,0.233,resources/images/medium/med_S2_3.jpg,1024,768,0.35,0.2625,resources/images/medium/med_S2_4.jpg,350,234,0.35,0.234,resources/images/medium/med_S2_5.jpg,1024,768,0.35,0.2625,resources/images/medium/med_T2.jpg,4032,2268,0.35,0.196875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,19.706186499999603,,,,,,,001,2025-06-27_14h11.18.433,pilot_study,,2025.1.1,2025-06-27 14h11.21.610962 -0400,
,,2,2,0,,,,,resources/images/medium/med_Q1.jpg,4032,3024,0.4,0.3,resources/images/medium/med_S1_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S1_2.jpg,4032,3024,0.35,0.2625,resources/images/medium/med_S1_3.jpg,4160,2340,0.35,0.196875,resources/images/medium/med_S1_4.jpg,1024,768,0.35,0.2625,resources/images/medium/med_S1_5.jpg,1024,768,0.35,0.2625,resources/images/medium/med_T1.jpg,1024,768,0.35,0.2625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,19.706186499999603,,,,,,,001,2025-06-27_14h11.18.433,pilot_study,,2025.1.1,2025-06-27 14h11.21.610962 -0400,
,,3,3,0,,,,,resources/images/medium/med_Q5.jpg,1024,768,0.4,0.3,resources/images/medium/med_S5_1.jpg,768,1024,0.2625,0.35,resources/images/medium/med_S5_2.jpg,350,233,0.35,0.233,resources/images/medium/med_S5_3.jpg,2592,4608,0.196875,0.35,resources/images/medium/med_S5_4.jpg,350,208,0.35,0.208,resources/images/medium/med_S5_5.jpg,350,233,0.35,0.233,resources/images/medium/med_T5.jpg,768,1024,0.2625,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,4,,,,,19.706186499999603,,,,,,,001,2025-06-27_14h11.18.433,pilot_study,,2025.1.1,2025-06-27 14h11.21.610962 -0400,
,,4,4,0,,,,,resources/images/medium/med_Q3.jpg,1024,768,0.4,0.3,resources/images/medium/med_S3_1.jpg,350,233,0.35,0.233,resources/images/medium/med_S3_2.jpg,1024,768,0.35,0.2625,resources/images/medium/med_S3_3.jpg,1024,768,0.35,0.2625,resources/images/medium/med_S3_4.jpg,350,341,0.35,0.341,resources/images/medium/med_S3_5.jpg,3264,1840,0.35,0.197303922,resources/images/medium/med_T3.jpg,1024,768,0.35,0.2625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,2,,,,,19.706186499999603,,,,,,,001,2025-06-27_14h11.18.433,pilot_study,,2025.1.1,2025-06-27 14h11.21.610962 -0400,
,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,resources/images/impossible/imp_Q3.jpg,3840,2160,0.4,0.225,resources/images/impossible/imp_S3_1.JPEG,1920,1080,0.35,0.196875,resources/images/impossible/imp_S3_2.jpg,5344,3006,0.35,0.196875,resources/images/impossible/imp_S3_3.JPEG,3840,2160,0.35,0.196875,resources/images/impossible/imp_S3_4.JPEG,3840,2160,0.35,0.140625,resources/images/impossible/imp_S3_5.JPEG,3840,2160,0.35,0.196875,resources/images/impossible/imp_T3.jpg,2160,3840,0.196875,0.35,,,,,,,,,0,0,0,2,19.706186499999603,,,,,,,001,2025-06-27_14h11.18.433,pilot_study,,2025.1.1,2025-06-27 14h11.21.610962 -0400,
,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,resources/images/impossible/imp_Q1.jpg,2160,2160,0.4,0.4,resources/images/impossible/imp_S1_1.jpg,768,1024,0.2625,0.35,resources/images/impossible/imp_S1_2.jpg,768,1024,0.2625,0.35,resources/images/impossible/imp_S1_3.jpg,1024,768,0.35,0.2625,resources/images/impossible/imp_S1_4.JPEG,3840,2160,0.35,0.140625,resources/images/impossible/imp_S1_5.jpg,768,1024,0.2625,0.35,resources/images/impossible/imp_T1.jpg,2160,2160,0.35,0.35,,,,,,,,,0,1,1,0,19.706186499999603,,,,,,,001,2025-06-27_14h11.18.433,pilot_study,,2025.1.1,2025-06-27 14h11.21.610962 -0400,
