set_img,correct,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,set_img2,correct2,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.duration,trialsMed.thisRepN,trialsMed.thisTrialN,trialsMed.thisN,trialsMed.thisIndex,trialsImp.thisRepN,trialsImp.thisTrialN,trialsImp.thisN,trialsImp.thisIndex,thisRow.t,notes,consent_key.keys,consent_key.rt,consent_key.duration,trialsMed.key_resp.keys,trialsMed.key_resp.corr,trialsMed.key_resp.rt,trialsMed.key_resp.duration,imp_sets.started,imp_sets.stopped,trialsImp.key_resp2.keys,trialsImp.key_resp2.corr,trialsImp.key_resp2.rt,trialsImp.key_resp2.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-27_15h39.25.386,pilot_study,,2025.1.1,2025-06-27 15h39.35.916088 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,y,1.3057396670046728,None,,,,,,,,,,,,001,2025-06-27_15h39.25.386,pilot_study,,2025.1.1,2025-06-27 15h39.35.916088 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-27_15h39.25.386,pilot_study,,2025.1.1,2025-06-27 15h39.35.916088 -0400,
resources/images/m1.jpg,3,0,0,0,3,1,23.612630792005803,None,,,,,,,0,0,0,0,,,,,11.486186958005419,,,,,3,1,23.612630792005803,None,,,,,,,,001,2025-06-27_15h39.25.386,pilot_study,,2025.1.1,2025-06-27 15h39.35.916088 -0400,
resources/images/m2.jpg,1,1,1,0,1,1,2.37727187499695,None,,,,,,,0,1,1,1,,,,,36.13220404200547,,,,,1,1,2.37727187499695,None,,,,,,,,001,2025-06-27_15h39.25.386,pilot_study,,2025.1.1,2025-06-27 15h39.35.916088 -0400,
resources/images/m4.jpg,6,2,2,0,5,0,1.409560166997835,None,,,,,,,0,2,2,3,,,,,39.559472207998624,,,,,5,0,1.409560166997835,None,,,,,,,,001,2025-06-27_15h39.25.386,pilot_study,,2025.1.1,2025-06-27 15h39.35.916088 -0400,
resources/images/m5.jpg,4,3,3,0,4,1,8.053468166996026,None,,,,,,,0,3,3,4,,,,,42.00515212499886,,,,,4,1,8.053468166996026,None,,,,,,,,001,2025-06-27_15h39.25.386,pilot_study,,2025.1.1,2025-06-27 15h39.35.916088 -0400,
resources/images/m3.jpg,3,4,4,0,6,0,11.427602875002776,None,,,,,,,0,4,4,2,,,,,51.10572229200625,,,,,6,0,11.427602875002776,None,,,,,,,,001,2025-06-27_15h39.25.386,pilot_study,,2025.1.1,2025-06-27 15h39.35.916088 -0400,
,,0,0,0,,,,,resources/images/i1.jpg,None,5,0,11.061667166999541,None,,,,,0,0,0,0,63.577300083008595,,,,,,,,,63.57290895799815,74.63765324999986,5,0,11.061667166999541,None,,001,2025-06-27_15h39.25.386,pilot_study,,2025.1.1,2025-06-27 15h39.35.916088 -0400,
,,1,1,0,,,,,resources/images/i2.jpg,None,1,0,2.6404398329905234,None,,,,,0,1,1,1,75.67515320800885,,,,,,,,,75.67097045799892,78.31720183300786,1,0,2.6404398329905234,None,,001,2025-06-27_15h39.25.386,pilot_study,,2025.1.1,2025-06-27 15h39.35.916088 -0400,
,,2,2,0,,,,,resources/images/i4.jpg,None,2,0,20.395578875002684,None,,,,,0,2,2,3,79.3540938750084,,,,,,,,,79.34995266700571,99.7510656670056,2,0,20.395578875002684,None,,001,2025-06-27_15h39.25.386,pilot_study,,2025.1.1,2025-06-27 15h39.35.916088 -0400,
,,3,3,0,,,,,resources/images/i5.jpg,None,3,0,6.6790053750009974,None,,,,,0,3,3,4,100.79138550000789,,,,,,,,,100.78749404200062,107.47278141700372,3,0,6.6790053750009974,None,,001,2025-06-27_15h39.25.386,pilot_study,,2025.1.1,2025-06-27 15h39.35.916088 -0400,
,,4,4,0,,,,,resources/images/i3.jpg,None,4,0,2.6875224170071306,None,,,,,0,4,4,2,108.50707020801201,,,,,,,,,108.50289037500625,111.20134979201248,4,0,2.6875224170071306,None,,001,2025-06-27_15h39.25.386,pilot_study,,2025.1.1,2025-06-27 15h39.35.916088 -0400,
