spreadsheet_to_match,thisN,thisTrialN,thisRepN,set_img,correct,key_easy.keys,key_easy.corr,key_easy.rt,key_easy.duration,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_hard.keys,key_hard.corr,key_hard.rt,key_hard.duration,set_img2,correct2,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialsEasy.thisRepN,trialsEasy.thisTrialN,trialsEasy.thisN,trialsEasy.thisIndex,trialsMed.thisRepN,trialsMed.thisTrialN,trialsMed.thisN,trialsMed.thisIndex,trialsHard.thisRepN,trialsHard.thisTrialN,trialsHard.thisN,trialsHard.thisIndex,trialsImp.thisRepN,trialsImp.thisTrialN,trialsImp.thisN,trialsImp.thisIndex,thisRow.t,notes,consent_key.keys,consent_key.rt,consent_key.duration,trialsEasy.key_easy.keys,trialsEasy.key_easy.corr,trialsEasy.key_easy.rt,trialsEasy.key_easy.duration,trialsMed.key_resp.keys,trialsMed.key_resp.corr,trialsMed.key_resp.rt,trialsMed.key_resp.duration,trialsHard.key_hard.keys,trialsHard.key_hard.corr,trialsHard.key_hard.rt,trialsHard.key_hard.duration,imp_sets.started,imp_sets.stopped,trialsImp.key_resp2.keys,trialsImp.key_resp2.corr,trialsImp.key_resp2.rt,trialsImp.key_resp2.duration,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,0.7940633739926852,None,,,,,,,,,,,,,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
resources/image_match_easy.xlsx,1,1,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,2.239549124991754,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,0,0,0,resources/images/easy/easy_4.png,1,4,0,1.1715496249962598,None,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,4.212753166997572,,,,,4,0,1.1715496249962598,None,,,,,,,,,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,1,1,0,resources/images/easy/easy_2.png,5,2,0,0.3082820409908891,None,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,6.474799458985217,,,,,2,0,0.3082820409908891,None,,,,,,,,,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,2,2,0,resources/images/easy/easy_5.png,5,5,1,0.25030295801116154,None,,,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,7.881166916980874,,,,,5,1,0.25030295801116154,None,,,,,,,,,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,3,3,0,resources/images/easy/easy_1.png,6,1,0,0.22065775000373833,None,,,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,9.233103624981595,,,,,1,0,0.22065775000373833,None,,,,,,,,,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,4,4,0,resources/images/easy/easy_3.png,3,2,0,0.2715171659947373,None,,,,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,10.540180583979236,,,,,2,0,0.2715171659947373,None,,,,,,,,,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,0,0,0,resources/images/m1.jpg,3,,,,,3,1,0.40639237497816794,None,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,13.84407637498225,,,,,,,,,3,1,0.40639237497816794,None,,,,,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,1,1,0,resources/images/m3.jpg,3,,,,,2,0,0.08100195700535551,None,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,15.291599874995882,,,,,,,,,2,0,0.08100195700535551,None,,,,,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,2,2,0,resources/images/m4.jpg,6,,,,,1,0,0.18248141600633971,None,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,16.404546709003625,,,,,,,,,1,0,0.18248141600633971,None,,,,,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,3,3,0,resources/images/m2.jpg,1,,,,,3,0,0.13133291600388475,None,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,17.630693624989362,,,,,,,,,3,0,0.13133291600388475,None,,,,,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,4,4,0,resources/images/m5.jpg,4,,,,,4,1,0.07295816598343663,None,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,18.807916333986213,,,,,,,,,4,1,0.07295816598343663,None,,,,,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,0,0,0,resources/images/hard/hard_5.png,2,,,,,,,,,1,0,0.3231952069909312,None,,,,,,,,,,,,,,,,,,,0,0,0,4,,,,,21.98352341700229,,,,,,,,,,,,,1,0,0.3231952069909312,None,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,1,1,0,resources/images/hard/hard_3.png,1,,,,,,,,,2,0,0.3895514159812592,None,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,23.408584958990104,,,,,,,,,,,,,2,0,0.3895514159812592,None,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,2,2,0,resources/images/hard/hard_4.png,4,,,,,,,,,3,0,0.20896295699640177,None,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,24.879234708991135,,,,,,,,,,,,,3,0,0.20896295699640177,None,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,3,3,0,resources/images/hard/hard_2.png,2,,,,,,,,,4,0,0.09927545802202076,None,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,26.191006999986712,,,,,,,,,,,,,4,0,0.09927545802202076,None,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,4,4,0,resources/images/hard/hard_1.png,5,,,,,,,,,3,0,0.169031208002707,None,,,,,,,,,,,,,,,,,,,0,4,4,0,,,,,27.387579874979565,,,,,,,,,,,,,3,0,0.169031208002707,None,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,0,0,0,,,,,,,,,,,,,,,resources/images/i5.jpg,5,1,0,3.0938623739930335,None,,,,,,,,,,,,,,,,,0,0,0,4,30.600987124984385,,,,,,,,,,,,,,,,,30.597756041999673,30.598036041978048,1,0,3.0938623739930335,None,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,1,1,0,,,,,,,,,,,,,,,resources/images/i4.jpg,3,1,0,0.9182949580135755,None,,,,,,,,,,,,,,,,,0,1,1,3,31.62485929200193,,,,,,,,,,,,,,,,,31.621713250002358,31.62198999998509,1,0,0.9182949580135755,None,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,2,2,0,,,,,,,,,,,,,,,resources/images/i2.jpg,1,1,1,0.5749866240075789,None,,,,,,,,,,,,,,,,,0,2,2,1,32.661137999995844,,,,,,,,,,,,,,,,,32.65694274997804,33.23748520898516,1,1,0.5749866240075789,None,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,3,3,0,,,,,,,,,,,,,,,resources/images/i3.jpg,4,2,0,0.1764157500001602,None,,,,,,,,,,,,,,,,,0,3,3,2,34.274546917004045,,,,,,,,,,,,,,,,,34.2705389589828,34.452161749999505,2,0,0.1764157500001602,None,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
,4,4,0,,,,,,,,,,,,,,,resources/images/i1.jpg,2,4,0,0.11402274898136966,None,,,,,,,,,,,,,,,,,0,4,4,0,35.48491204198217,,,,,,,,,,,,,,,,,35.4808170000033,35.60220979197766,4,0,0.11402274898136966,None,,001,2025-06-30_10h33.29.693,pilot_study,,2025.1.1,2025-06-30 10h33.34.051276 -0400,
